조성년도,학교명,소재지도로명주소,면적(제곱미터),조성현황
2003,장기중학교,경기도 김포시 청송로 5,6384,"교목-소나무 외 17종 114주,관목-눈주목 외16종 5,249주,만경류-담쟁이덩굴70주"
2004,하성초등학교,경기도 김포시 하성면 애기봉로 857,1364,"교목-소나무 외 16종 68주,관목-영산홍 외 11종 4,452주"
2004,고창초등학교,경기도 김포시 김포한강1로98번길 35,819,"식재-가이즈까향나무 외 26종 2,292본,이식-구상나무 외5종 73주"
2005,월곶초등학교,경기도 김포시 월곶면 군하로276번길 28,1096,"소나무 외 14종 130주,산철쭉 외 2종 1,930주"
2005,사우초등학교,경기도 김포시 사우로 20,964,"소나무 외 17종 129주,무궁화 외 5종 2,424주"
2006,유현초등학교,경기도 김포시 유현로33번길 50,665,"소나무 외 13종 62주,자산홍 외 6종 2,115주"
2006,대곶중학교,경기도 김포시 대곶면 율생중앙로 8,876,"소나무 외 13종 112주,무궁화 외7종 2,580주"
2007,김포초등학교,경기도 김포시 북변중로65번길 4-24,706,"소나무 외 38종 6,587본 식재"
2007,양곡중학교,경기도 김포시 양촌읍 양곡4로 138,1325,"소나무 9주 외 38종 6,426본 식재"
2007,김포중학교,경기도 김포시 봉화로 83,1431,"소나무 12주 외 19종 2,976주 식재"
2007,대곶초등학교,경기도 김포시 대곶면 율생중앙로36번길 19,1784,소나무 13주 외 12종 93주 식재
2008,김포신풍초등학교,경기도 김포시 풍무로208번길 14,803,"소나무 외 11종 2,600주 식재 외 4개 공종"
2008,김포제일고등학교,경기도 김포시 김포한강11로 242,1013.47,"소나무 외 25종 3,181주 식재 외 5개 공종"
2008,통진중학교,경기도 김포시 김포한강9로 116,1097.89,"소나무 외 17종 1,922주 식재 외 5개 공종"
2011,양곡초등학교,경기도 김포시 양촌읍 양곡로 548,298.1,"조형소나무 외 25종 1,324주 식재 외 5개공종"
2011,사우고등학교,경기도 김포시 김포대로 824,508,"대나무 외 27종 1,167주 식재 외 4개 공종"
2012,양곡고등학교,경기도 김포시 양촌읍 양곡4로 138,661,"소나무 외 19종 4,051주 식재"
2012,걸포초등학교,경기도 김포시 걸포로 22,449,"조형소나무 외 24종 3,117주 식재"
2012,걸포초등학교(완충녹지),경기도 김포시 걸포로 22,449,"소나무 외 9종 512주 이식 및 식재,조경석쌓기 20m, 벤치6개"
2013,마송초등학교,경기도 김포시 통진읍 흥신로 315,410,"조형소나무 외 5종 652주,구절초 외 13종 3,120주"
