업소명,소재지도로명주소,소재지지번주소,위도,경도,업체연락처,음식의유형,주된음식,관리기관명,관리기관전화번호,데이터기준일자
그집순대국,경기도 동두천시 장고갯로 123,경기도 동두천시 생연동 227-2,37.90598235,37.90598235,031-863-2254,한식,순대국,동두천시청 농업축산위생과,031-860-2234,2021-06-30
대기철판요리,경기도 동두천시 동광로53번길 72,경기도 동두천시 생연동 570-37,37.91169891,37.91169891,031-858-7852,양식,철판요리,동두천시청 농업축산위생과,031-860-2234,2021-06-30
대호숯불갈비,경기도 동두천시 중앙로265번길 19,경기도 동두천시 생연동 659-32,37.90524209,37.90524209,031-868-0092,한식,"돼지갈비,불고기",동두천시청 농업축산위생과,031-860-2234,2021-06-30
동동갈비,경기도 동두천시 어수로101번길 13,경기도 동두천시 생연동 670-3,37.90295679,37.90295679,031-864-3093,한식,돼지갈비,동두천시청 농업축산위생과,031-860-2234,2021-06-30
마티스,경기도 동두천시 평화로 2546,경기도 동두천시 보산동 365-4,37.91505999,37.91505999,031-862-0255,경양식,"스테이크,바베큐,파스타",동두천시청 농업축산위생과,031-860-2234,2021-06-30
삼복식당,경기도 동두천시 동광로 47-9,경기도 동두천시 생연동 583-22,37.90899686,37.90899686,031-865-2130,일식,"회,매운탕",동두천시청 농업축산위생과,031-860-2234,2021-06-30
생연칼국수,경기도 동두천시 생연로 124,경기도 동두천시 생연동 823-188,37.90353808,37.90353808,031-865-2011,한식,"삼계탕,칼국수",동두천시청 농업축산위생과,031-860-2234,2021-06-30
송내별미식당,경기도 동두천시 중앙로 116,경기도 동두천시 지행동 718-1,37.89176764,37.89176764,031-859-3785,한식,찜류,동두천시청 농업축산위생과,031-860-2234,2021-06-30
송내실비집,경기도 동두천시 중앙로 112,경기도 동두천시 지행동 718,37.89147213,37.89147213,031-857-6006,한식,부대찌게,동두천시청 농업축산위생과,031-860-2234,2021-06-30
아리랑갈비(주하늘),경기도 동두천시 평화로2261번길 36,경기도 동두천시 지행동 736-1,37.89080352,37.89080352,031-868-2435,한식,"소갈비, 돼지갈비,갈비탕",동두천시청 농업축산위생과,031-860-2234,2021-06-30
약수산장,경기도 동두천시 천보산로 619,경기도 동두천시 탑동동 867,37.88453539,37.88453539,031-867-3341,한식,"오리주물럭, 동태탕",동두천시청 농업축산위생과,031-860-2234,2021-06-30
오륙하우스,경기도 동두천시 상패로 210-9,경기도 동두천시 보산동 431-11,37.91729538,37.91729538,031-865-3556,경양식,"스파게티,스테이크",동두천시청 농업축산위생과,031-860-2234,2021-06-30
작은성,경기도 동두천시 평화로2910번길 76,경기도 동두천시 상봉암동 10-2,37.94567711,37.94567711,031-867-1551,한식,한식,동두천시청 농업축산위생과,031-860-2234,2021-06-30
참좋은미식,경기도 동두천시 신천로231번길 35-11,경기도 동두천시 안흥동 19,37.93724982,37.93724982,031-862-6976,한식,쌈밥,동두천시청 농업축산위생과,031-860-2234,2021-06-30
평남면옥,경기도 동두천시 생연로 127,경기도 동두천시 생연동 824-28,37.90390218,37.90390218,031-865-2413,한식,냉면,동두천시청 농업축산위생과,031-860-2234,2021-06-30
형제불고기,경기도 동두천시 정장로 11-12,경기도 동두천시 생연동 823-1,37.90517382,37.90517382,031-865-2021,한식,불고기,동두천시청 농업축산위생과,031-860-2234,2021-06-30
