연번,공연장명,대표자,소재지,객석규모(석),개관일,공연장 등록일,데이터기준일자
1,야외공연장(중앙공원 내),성남문화재단,경기도 성남시 분당구 성남대로550,480,1997-11-28,2003-03-05,2021-04-30
2,성남시분당서현청소년수련관내공연장,성남시 청소년재단,경기도 성남시 분당구 불정로386번길38,122,2004-09-25,2004-11-12,2021-04-30
3,성남시수정청소년수련관내 공연장,성남시 청소년재단,경기도 성남시 수정구 희망로509번길20,412,1994-12-07,2005-04-30,2021-04-30
4,성남시분당정자청소년수련관내 공연장,성남시 청소년재단,경기도 성남시 분당구 성남대로407번길12,290,2004-10-02,2005-05-09,2021-04-30
5,오페라하우스,성남문화재단,경기도 성남시 분당구 성남대로808,1808,2005-10-14,2005-10-13,2021-04-30
6,콘서트홀,성남문화재단,경기도 성남시 분당구 성남대로808,1102,2005-10-14,2005-10-13,2021-04-30
7,앙상블시어터,성남문화재단,경기도 성남시 분당구 성남대로808,378,2005-10-14,2005-10-13,2021-04-30
8,성남시중원청소년수련관내 공연장,성남시 청소년재단,경기도 성남시 중원구 둔촌대로332,199,2007-12-06,2008-03-17,2021-04-30
9,분당판교청소년수련관 공연장,성남시 청소년재단,경기도 성남시 분당구 운중로225번길37,177,2010-03-25,2010-08-12,2021-04-30
10,분당야탑청소년수련관 공연장,성남시 청소년재단,분당구 벌말로 30번길 35,254,2020-06-04,2020-06-04,2021-04-30
11,나래울극장,한국잡월드,경기도 성남시 분당구 분당수서로501,354,2012-05-14,2012-05-14,2021-04-30
12,티엘아이아트센터,이OO,"경기도 성남시 중원구 양현로405번길 12, 2층 ㈜티엘아이빌딩",244,2012-12-06,2013-06-26,2021-04-30
13,분당소극장,안OO,"경기도 성남시 분당구 안골로 12-6,301호",153,2013-08-06,2015-06-02,2021-04-30
14,깜찍이품바공연장,김OO,경기도 성남시 중원구 둔촌대로77,80,2019-04-16,2019-04-15,2021-04-30
15,성음아트센터,허OO,"경기도 성남시 분당구 판교역로 14번길 15, 성음아트센터 4층",204,2019-05-02,2019-05-02,2021-04-30
16,코펙스아트홀,나OO,"경기도 성남시 분당구 산운로160번길 18, 1층",50,2020-10-16,2020-10-19,2021-04-30
17,핸딘스페이스,김OO,"경기도 성남시 분당구 수내로46번길 33, 화동빌딩 지하1층",170,2020-10-15,2020-10-22,2021-04-30
