기관명,제목,분류명,자세히 보기 URL,주소,시간,비용,문의할 연락처,주최 주관,홈페이지,참여작가,이미지 URL,시작일,종료일
경기문화재단,최소리의 소리를 본다(Seeing Sound),전시,https://ggc.ggcf.kr/cultureEvents/view/5faa30cd22471c662d8bdaa6,,10:00 - 18:00,무료,031-290-4692,"한국문화예술회관연합회/화성시문화재단, 아트인동산",https://www.hcf.or.kr/,,https://ggc.ggcf.kr//uploadimg/file/전시_02_1604989131763.jpg,2020-11-10,2020-12-06
경기문화재단,"쉬어가는 보구곶, 休",전시,https://ggc.ggcf.kr/cultureEvents/view/5faa2e8622471c662d8bdaa5,,10:00 ~ 16:00,무료,031-996-7343,김포문화재단,https://www.gcf.or.kr/,,https://ggc.ggcf.kr//uploadimg/file/전시_01_1604988548766.jpg,2020-09-08,2020-11-21
경기문화재단,[경기도박물관] 처인성 전투 VR체험,교육,https://ggc.ggcf.kr/cultureEvents/view/5fa9eb844025a3653cc81ab4,,11:00~15:00(각 30분 소요),무료,031-288-5373,경기도박물관,https://musenet.ggcf.kr/,,https://ggc.ggcf.kr//uploadimg/file/도박 처인성_1_1604972363983.jpg,2020-11-07,2020-12-18
경기문화재단,생생화화 2020 〈8 Artists Voyage -나를 찾아 가는 길〉,전시,https://ggc.ggcf.kr/cultureEvents/view/5fa8c54d0a69d760b237d85d,,개관시간 10:00~18:00(월요일 휴관),무료,031-783-8142~5,"경기문화재단, 성남문화재단",https://www.snart.or.kr/,,https://ggc.ggcf.kr//uploadimg/file/생생화화 성남 포스터_1604896217487.jpg,2020-11-06,2020-12-20
경기문화재단,2020 찾아가는 문화체험 <구석구석 예술놀이>,교육,https://ggc.ggcf.kr/cultureEvents/view/5fa4fb61280c735378e9006b,,14:00~16:00,무료,031-775-8515,양평군립미술관,http://www.ymuseum.org/,,https://ggc.ggcf.kr//uploadimg/file/교육_01_1604647775332.jpg,2020-11-05,2020-11-21
경기문화재단,독립운동 순회전시 <다시 시작하는 미래 100년>,전시,https://ggc.ggcf.kr/cultureEvents/view/5fa3b05b16fde74bead86d81,,09:00~18:00,무료,031-790-7990,하남역사박물관,https://www.hnart.or.kr/,,https://ggc.ggcf.kr//uploadimg/file/전시_02_1604563033251.jpg,2020-10-23,2020-12-20
경기문화재단,스타필드 '작은 미술관' - 김민찬 개인전 《!안녕하세요 반갑습니다!》,전시,https://ggc.ggcf.kr/cultureEvents/view/5fa3ab3d16fde74bead86d7f,,10 - 22시,무료,031-790-7929,"하남문화재단, 스타필드 하남",https://www.hnart.or.kr/,,https://ggc.ggcf.kr//uploadimg/file/전시_01_1604561724019.jpg,2020-11-06,2020-11-19
경기문화재단,그것은 무엇을 밝히나,전시,https://ggc.ggcf.kr/cultureEvents/view/5fa24590a6b7ba43ce5e24d1,,오전 10시 ~ 오후 6시,무료,031-228-4195,수원시립미술관,https://suma.suwon.go.kr/,,https://ggc.ggcf.kr//uploadimg/file/1602390364122_1604470158226.png,2020-09-22,2020-12-27
경기문화재단,"어린이 실시간 전시감상 GOGO 미술관탐험대 <내 나니 여자라,>",교육,https://ggc.ggcf.kr/cultureEvents/view/5fa24282dd2ea743b6c1e733,,14:00-14:40,무료,031.228.3596,수원시립아이파크미술관,https://suma.suwon.go.kr/,,https://ggc.ggcf.kr//uploadimg/file/교육_01_1604469376134.jpg,2020-11-06,2020-11-14
경기문화재단,2020 경기창작센터 창작레지던시 기획전 《0인칭 시점》,전시,https://ggc.ggcf.kr/cultureEvents/view/5f9f5c8309b8d030e7e81cf3,,온라인,무료,032-890-4810,"경기문화재단, 경기창작센터",https://gcc.ggcf.kr/,,https://ggc.ggcf.kr//uploadimg/file/포스터_1604279462350.jpg,2020-10-22,2020-12-31

